Date,Open,High,Low,Close,Volume,Adj Close
2006-10-02,75.1,75.87,74.3,74.86,178159800,10.17
2006-10-03,74.45,74.95,73.19,74.08,197677200,10.07
2006-10-04,74.1,75.46,73.16,75.38,207270700,10.24
2006-10-05,74.53,76.16,74.13,74.83,170970800,10.17
2006-10-06,74.42,75.04,73.81,74.22,116739700,10.08
2006-10-09,73.8,75.08,73.53,74.63,109555600,10.14
2006-10-10,74.54,74.58,73.08,73.81,132897100,10.03
2006-10-11,73.42,73.98,72.6,73.23,142963800,9.95
2006-10-12,73.61,75.39,73.6,75.26,148213800,10.23
2006-10-13,75.63,76.88,74.74,75.02,171049200,10.19
2006-10-16,75.19,75.88,74.79,75.4,127173200,10.24
2006-10-17,75.04,75.27,74.04,74.29,120231300,10.09
2006-10-18,74.75,75.37,73.91,74.53,283476900,10.13
2006-10-19,79.26,79.95,78.16,78.99,378244300,10.73
2006-10-20,78.97,79.99,78.67,79.95,159853400,10.86
2006-10-23,79.99,81.9,79.75,81.46,208126800,11.07
2006-10-24,81.21,81.68,80.2,81.05,115803100,11.01
2006-10-25,81.35,82.0,81.01,81.68,121303700,11.1
2006-10-26,81.9,82.6,81.13,82.19,108189200,11.17
2006-10-27,81.75,82.45,80.01,80.41,148741600,10.93
2006-10-30,79.99,80.9,79.5,80.42,124979400,10.93
2006-10-31,81.45,81.68,80.23,81.08,125368600,11.02
2006-11-01,81.1,81.38,78.36,79.16,152798100,10.76
2006-11-02,78.92,79.32,78.5,78.98,116370800,10.73
2006-11-03,79.36,79.53,77.79,78.29,107972200,10.64
2006-11-06,78.95,80.06,78.43,79.71,108644200,10.83
2006-11-07,80.45,81.0,80.13,80.51,131483100,10.94
2006-11-08,80.02,82.69,79.89,82.45,172729200,11.2
2006-11-09,82.9,84.69,82.12,83.34,230763400,11.32
2006-11-10,83.55,83.6,82.5,83.12,93466100,11.29
2006-11-13,83.22,84.45,82.64,84.35,112668500,11.46
2006-11-14,84.8,85.0,83.9,85.0,147238700,11.55
2006-11-15,85.05,85.9,84.0,84.05,163830800,11.42
2006-11-16,84.87,86.3,84.62,85.61,173485200,11.63
2006-11-17,85.14,85.94,85.0,85.85,116606000,11.66
2006-11-20,85.4,87.0,85.2,86.47,142698500,11.75
2006-11-21,87.42,88.6,87.11,88.6,155666700,12.04
2006-11-22,88.99,90.75,87.85,90.31,167985300,12.27
2006-11-24,89.53,93.08,89.5,91.63,129669400,12.45
2006-11-27,92.51,93.16,89.5,89.54,268709000,12.17
2006-11-28,90.36,91.97,89.91,91.81,259043400,12.47
2006-11-29,93.0,93.15,90.25,91.8,289270800,12.47
2006-11-30,92.21,92.68,91.06,91.66,217621600,12.45
2006-12-01,91.8,92.33,90.1,91.32,198769900,12.41
2006-12-04,91.88,92.05,90.5,91.12,177384200,12.38
2006-12-05,91.65,92.33,90.87,91.27,165709600,12.4
2006-12-06,90.64,91.39,89.67,89.83,159546100,12.21
2006-12-07,90.03,90.5,86.9,87.04,251206900,11.83
2006-12-08,87.23,89.39,87.0,88.26,196069300,11.99
2006-12-11,88.9,89.3,88.05,88.75,124945100,12.06
2006-12-12,88.61,88.84,85.53,86.14,256655000,11.7
2006-12-13,87.95,89.07,87.15,89.05,214263000,12.1
2006-12-14,89.05,90.0,88.26,88.55,208082700,12.03
2006-12-15,89.02,89.22,87.33,87.72,184984800,11.92
2006-12-18,87.63,88.0,84.59,85.47,180394200,11.61
2006-12-19,84.73,86.68,83.62,86.31,227851400,11.73
2006-12-20,86.47,86.67,84.74,84.76,141922900,11.52
2006-12-21,84.7,85.48,82.2,82.9,225899800,11.26
2006-12-22,83.46,84.04,81.6,82.2,153325900,11.17
2006-12-26,82.15,82.57,80.89,81.51,122672200,11.07
2006-12-27,78.15,82.0,76.77,81.52,483938700,11.08
2006-12-28,80.22,81.25,79.65,80.87,279969200,10.99
2006-12-29,83.95,85.4,83.36,84.84,269107300,11.53
2007-01-03,86.29,86.58,81.9,83.8,309579900,11.39
2007-01-04,84.05,85.95,83.82,85.66,211815100,11.64
2007-01-05,85.77,86.2,84.4,85.05,208685400,11.56
2007-01-08,85.96,86.53,85.28,85.47,199276700,11.61
2007-01-09,86.45,92.98,85.15,92.57,837324600,12.58
2007-01-10,94.75,97.8,93.45,97.0,738220000,13.18
2007-01-11,95.94,96.78,95.1,95.8,360063200,13.02
2007-01-12,94.59,95.06,93.23,94.62,328172600,12.86
2007-01-16,95.68,97.25,95.45,97.1,311019100,13.19
2007-01-17,97.56,97.6,94.82,94.95,411565000,12.9
2007-01-18,92.1,92.11,89.05,89.07,591151400,12.1
2007-01-19,88.63,89.65,88.12,88.5,341118400,12.02
2007-01-22,89.14,89.16,85.65,86.79,363506500,11.79
2007-01-23,85.73,87.51,85.51,85.7,301856100,11.64
2007-01-24,86.68,87.15,86.08,86.7,231953400,11.78
2007-01-25,87.11,88.5,86.03,86.25,226493400,11.72
2007-01-26,87.11,87.37,84.99,85.38,246718500,11.6
2007-01-29,86.3,86.65,85.53,85.94,225416100,11.68
2007-01-30,86.43,86.49,85.25,85.55,144492600,11.62
2007-01-31,84.86,86.0,84.35,85.73,214017300,11.65
2007-02-01,86.23,86.27,84.74,84.74,166085500,11.51
2007-02-02,84.12,85.25,83.7,84.75,155382500,11.51
2007-02-05,84.3,85.23,83.94,83.94,144713100,11.4
2007-02-06,84.45,84.47,82.86,84.15,216098400,11.43
2007-02-07,84.48,86.38,83.55,86.15,266706300,11.71
2007-02-08,85.43,86.51,85.41,86.18,169757700,11.71
2007-02-09,85.88,86.2,83.21,83.27,215135200,11.31
2007-02-12,84.43,85.18,83.63,84.88,181017900,11.53
2007-02-13,85.16,85.29,84.3,84.7,145246500,11.51
2007-02-14,84.63,85.64,84.57,85.3,126995400,11.59
2007-02-15,85.44,85.62,84.78,85.21,90915300,11.58
2007-02-16,85.25,85.41,84.66,84.83,99967000,11.53
2007-02-20,84.65,86.16,84.16,85.9,154425600,11.67
2007-02-21,85.98,89.49,85.96,89.2,288828400,12.12
2007-02-22,90.8,90.81,88.53,89.51,209556200,12.16
2007-02-23,89.16,90.34,88.85,89.07,129473400,12.1
2007-02-26,89.84,90.0,87.61,88.51,153962200,12.03
2007-02-27,86.3,87.08,83.41,83.93,286453300,11.4
2007-02-28,83.0,85.6,83.0,84.61,229868800,11.5
2007-03-01,84.03,88.31,83.75,87.06,353882200,11.83
2007-03-02,86.77,87.54,85.21,85.41,215000100,11.6
2007-03-05,85.89,88.65,85.76,86.32,209724900,11.73
2007-03-06,87.8,88.31,87.4,88.19,180796700,11.98
2007-03-07,88.05,88.97,87.45,87.72,156571100,11.92
2007-03-08,88.59,88.72,87.46,88.0,127752800,11.96
2007-03-09,88.8,88.85,87.4,87.97,112959000,11.95
2007-03-12,88.07,89.99,87.99,89.87,182352100,12.21
2007-03-13,89.41,90.6,88.4,88.4,216972700,12.01
